"","company","time","title","job_title","job_location","recommends_rating","outlook_rating","ceo_rating","experience","pros","cons","advice_to_management"
"81","Medtronic","2018-04-16","""TDS""","Current Employee - Anonymous Employee","Beirut (Lebanon)","Recommends","Neutral Outlook","NA","I have been working at Medtronic full-time (More than 5 years)","One of the biggest medical devices companies","Like all the corporates,we experience lots of changes in structure",""
"82","Medtronic","2018-04-11","""marketing specialist""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I have been working at Medtronic full-time","downstream marketing and global marketing","nice company, and have a good career",""
"83","Medtronic","2018-04-11","""Ok""","Former Employee - Anonymous Employee","","Recommends","Neutral Outlook","Approves of CEO","I worked at Medtronic full-time (More than 5 years)","Good Sydney Base company free coffee on a monthly basis.","too much hussle and work","Support system at other part of the world hopefully you could fastening it."
"84","Medtronic","2018-04-10","""Customer Account Specialist""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Medtronic full-time","Great mission and values. AMAZING team! It was obvious that management values their employees. Awesome benefits, awesome salary and incentives! Medtronic is a stellar company","I did not experience any downside to this company. Every negative situation was turned into a learning moment and implemented into policy","Keep doing what you are doing. Change is good! Keep training and challenging us."
"85","Medtronic","2018-04-10","""Excellent""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Medtronic full-time","Medtronic was an excellent employer.","Use to be a local hometown type company but now its big and global so has the usual big company problems. Still would work there in a minute. Very good to me.","Listen to employees"
"86","Medtronic","2018-04-10","""Staff Accountant""","Former Employee - Anonymous Employee","Guaynabo, PR","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Medtronic full-time (More than 10 years)","Care for the health of patients","Overload of work per employee",""
"87","Medtronic","2018-04-09","""Awesome""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Medtronic full-time","Great hours and benefits, great company to work for","No downsides of working for such a great place",""
"88","Medtronic","2018-04-09","""Medtronic Acquired Company""","Current Employee - R&D Engineer","","Recommends","Positive Outlook","No opinion of CEO","I have been working at Medtronic full-time (More than a year)","Innovative company; projects are fun to work on.","HR is hesitant to correct salary to bring up to standard pay range.",""
"89","Medtronic","2018-04-09","""Corporate Culture""","Current Employee - Senior Human Resources Manager","Mexico, Distrito Federal (Mexico)","Recommends","Positive Outlook","Approves of CEO","I have been working at Medtronic full-time (More than 3 years)","Company products are the best in the worldCorporate culture has big impact in society and employees","The company is more focused on people than in their performance",""
"90","Medtronic","2018-04-08","""quality engineer""","Current Employee - Quality Engineer","Montreal, QC (Canada)","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I have been working at Medtronic full-time (More than a year)","Learning from a world leader in design and manufacture of medical devicesGreat metric system to monitor performance","Reactive environmentBase salary is low","Further develop leadership skillsHire new personnel because some workers do too many overtime hours"
"91","3M","","""Best company I've ever worked for""","Current Employee - Senior Manager","Salt Lake City, UT","Recommends","Positive Outlook","Approves of CEO","I have been working at 3M full-time (More than 5 years)","Excellent and supportive atmosphere. Upper tier of pay and super great benefits. Excellent work-life balance. Huge discounts on health care insurance for healthy living. New computers every 3 years. Opportunity to promote.","None that I can think of.","Keep on doing what you're doing!"
"92","3M","2018-04-16","""Stay away""","Former Employee - Sales","Phoenix, AZ","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at 3M full-time (More than 5 years)","Very nice insurance benefits, car, phone, etc. for field-based employees, decent compensation","Seriously over-priced products make it difficult to win against many competitors who love taking business away from 3M; frequently had to do price deviations to gain business; far too many non-revenue producing ""managers"" that looooove to come to this warmer climate during the long Minnesota winters under the premise of ""I want to work with you"" (meaning they will make 2-3 sales calls, then get dropped off at a golf course to meet a friend or relative, and you won't hear from again ... until next year).For years, 3M billed itself as being ""innovative"", but they really are not innovative anymore and haven't been for many years. They don't really develop new products any more, they just find new ways to spin their old products and sell them into different markets. And they just buy up their competition and take over their management with 3M zombies.3M also likes to tell new hires that they can expect to be employed with 3M for their entire career ... and then lay people off when the economy starts to go through the down cycle ... only to replace them a few months later with someone 20 years younger with no work ethic, no knowledge of the workplace.","Don't take yourselves so d*** serious! The egos in this company are unbelievable. Show some appreciation for the people out there on the front lines getting beaten up while they try to sell these over-priced products."
